PLZ,Name ,Landkreis,Bundesland
78267,Aach,Landkreis Konstanz,Baden-Württemberg
52080,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52078,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52076,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52074,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52072,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52070,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52068,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52066,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52064,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52062,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
73434,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73433,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73432,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73431,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73430,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
65326,Aarbergen,Landkreis Rheingau-Taunus-Kreis,Hessen
91183,Abenberg,Landkreis Roth,Bayern
93326,Abensberg,Landkreis Kelheim,Bayern
91720,Absberg,Landkreis Weißenburg-Gunzenhausen,Bayern
74232,Abstatt,Landkreis Heilbronn,Baden-Württemberg
73453,Abtsgmünd,Landkreis Ostalbkreis,Baden-Württemberg
69518,Abtsteinach,Landkreis Bergstraße,Hessen
88147,Achberg,Landkreis Ravensburg,Baden-Württemberg
77855,Achern (Abweichung Exklaven),Landkreis Ortenaukreis,Baden-Württemberg
28832,Achim,Landkreis Verden,Niedersachsen
94250,Achslach,Landkreis Regen,Bayern
88480,Achstetten,Landkreis Biberach,Baden-Württemberg
24239,Achterwehr,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
73099,Adelberg,Landkreis Göppingen,Baden-Württemberg
37139,Adelebsen,Landkreis Göttingen,Niedersachsen
29352,Adelheidsdorf,Landkreis Celle,Niedersachsen
73486,Adelmannsfelden,Landkreis Ostalbkreis,Baden-Württemberg
85111,Adelschlag,Landkreis Eichstätt,Bayern
91325,Adelsdorf,Landkreis Erlangen-Höchstadt,Bayern
74740,Adelsheim,Landkreis Neckar-Odenwald-Kreis,Baden-Württemberg
91587,Adelshofen,Landkreis Ansbach,Bayern
82276,Adelshofen,Landkreis Fürstenfeldbruck,Bayern
86477,Adelsried,Landkreis Augsburg,Bayern
86559,Adelzhausen,Landkreis Aichach-Friedberg,Bayern
53518,"Adenau, Kottenborn u.a.",Landkreis Ahrweiler,Rheinland-Pfalz
38528,Adenbüttel,Landkreis Gifhorn,Niedersachsen
